TillerNumber	group
Nip_4	22	Nip
Nip_5	18	Nip
Nip_6	26	Nip
Nip_7	21	Nip
Nip_8	22	Nip
Nip_9	16	Nip
Nip_10	16	Nip
Nip_11	19	Nip
Nip_12	17	Nip
Nip_13	16	Nip
Nip_14	18	Nip
Nip_15	22	Nip
Nip_16	18	Nip
Nip_17	17	Nip
Nip_18	20	Nip
Nip_19	17	Nip
Nip_20	16	Nip
d10_1	130	d10
d10_2	142	d10
d10_3	126	d10
d10_4	143	d10
d10_5	115	d10
d10_6	158	d10
d10_7	143	d10
d10_8	47	d10
d10_9	169	d10
d10_10	141	d10
d10_11	156	d10
d10_12	130	d10
d10_13	140	d10
d10_14	60	d10
d10_15	143	d10
d10_16	182	d10
d10_17	86	d10
d10_18	118	d10
d10_19	139	d10
d10_20	157	d10
d14_1	44	d14
d14_2	59	d14
d14_3	63	d14
d14_4	44	d14
d14_5	62	d14
d14_6	48	d14
d14_7	50	d14
d14_8	47	d14
d14_9	53	d14
d14_10	46	d14
d14_11	57	d14
d14_12	57	d14
d14_13	73	d14
d14_14	51	d14
d14_15	64	d14
d14_16	65	d14
d14_17	53	d14
d14_18	56	d14
d14_19	66	d14
d14_20	44	d14
d17_1	102	d17
d17_2	93	d17
d17_3	101	d17
d17_4	76	d17
d17_5	87	d17
d17_6	103	d17
d17_7	121	d17
d17_8	121	d17
d17_9	104	d17
d17_10	108	d17
d17_11	90	d17
d17_12	81	d17
d17_13	121	d17
d17_14	101	d17
d17_15	68	d17
d17_16	101	d17
d17_17	90	d17
d17_18	64	d17
d17_19	91	d17
d17_20	79	d17
d53_1	59	d53
d53_2	49	d53
d53_3	45	d53
d53_4	55	d53
d53_5	52	d53
d53_6	48	d53
d53_7	49	d53
d53_8	57	d53
d53_9	39	d53
d53_10	67	d53
d53_11	56	d53
d53_12	61	d53
d53_13	52	d53
d53_14	66	d53
d53_15	61	d53
d53_16	62	d53
d53_17	61	d53
d53_18	70	d53
d53_19	61	d53
d53_20	51	d53
TillerNumber	group
Nip_1	20	Nip
Nip_2	23	Nip
Nip_3	16	Nip
Nip_4	22	Nip
Nip_5	18	Nip
Nip_6	26	Nip
Nip_7	21	Nip
Nip_8	22	Nip
Nip_9	16	Nip
Nip_10	16	Nip
Nip_11	19	Nip
Nip_12	17	Nip
Nip_13	16	Nip
Nip_14	18	Nip
Nip_15	22	Nip
Nip_16	18	Nip
Nip_17	17	Nip
Nip_18	20	Nip
Nip_19	17	Nip
Nip_20	16	Nip
d10_1	130	d10
d10_2	142	d10
d10_3	126	d10
d10_4	143	d10
d10_5	115	d10
d10_6	158	d10
d10_7	143	d10
d10_8	47	d10
d10_9	169	d10
d10_10	141	d10
d10_11	156	d10
d10_12	130	d10
d10_13	140	d10
d10_14	60	d10
d10_15	143	d10
d10_16	182	d10
d10_17	86	d10
d10_18	118	d10
d10_19	139	d10
d10_20	157	d10
d14_1	44	d14
d14_2	59	d14
d14_3	63	d14
d14_4	44	d14
d14_5	62	d14
d14_6	48	d14
d14_7	50	d14
d14_8	47	d14
d14_9	53	d14
d14_10	46	d14
d14_11	57	d14
d14_12	57	d14
d14_13	73	d14
d14_14	51	d14
d14_15	64	d14
d14_16	65	d14
d14_17	53	d14
d14_18	56	d14
d14_19	66	d14
d14_20	44	d14
d17_1	102	d17
d17_2	93	d17
d17_3	101	d17
d17_4	76	d17
d17_5	87	d17
d17_6	103	d17
d17_7	121	d17
d17_8	121	d17
d17_9	104	d17
d17_10	108	d17
d17_11	90	d17
d17_12	81	d17
d17_13	121	d17
d17_14	101	d17
d17_15	68	d17
d17_16	101	d17
d17_17	90	d17
d17_18	64	d17
d17_19	91	d17
d17_20	79	d17
d53_1	59	d53
d53_2	49	d53
d53_3	45	d53
d53_4	55	d53
d53_5	52	d53
d53_6	48	d53
d53_7	49	d53
d53_8	57	d53
d53_9	39	d53
d53_10	67	d53
d53_11	56	d53
d53_12	61	d53
d53_13	52	d53
d53_14	66	d53
d53_15	61	d53
d53_16	62	d53
d53_17	61	d53
d53_18	70	d53
d53_19	61	d53
d53_20	51	d53
